bill_id,sale_id,date,day_of_week,product_name,category,size,color,quantity_sold,price (Rs.),discount (%),total_amount (Rs.),payment_method,customer_gender,age_group,store_section
B001,S001,2025-09-01,Monday,Oversized Cotton T-Shirt,Tops,S,Black,1,499,0,499.0,UPI,Male,Young Adult (20-30),Men
B002,S002,2025-09-01,Monday,High-Rise Trousers,Bottoms,L,Olive,1,999,0,999.0,UPI,Female,Young Adult (20-30),Women
B003,S003,2025-09-01,Monday,Slim Fit Jeans,Bottoms,M,Black,1,999,0,999.0,Card,Female,Adult (31-45),Men
B003,S004,2025-09-01,Monday,Classic Polo T-Shirt,Tops,S,Navy Blue,1,599,0,599.0,Card,Female,Adult (31-45),Men
B004,S005,2025-09-01,Monday,Cotton Chinos,Bottoms,XL,Navy Blue,1,899,0,899.0,Cash,Female,Young Adult (20-30),Men
B004,S006,2025-09-01,Monday,Classic Polo T-Shirt,Tops,XL,Navy Blue,2,599,0,1198.0,Cash,Female,Young Adult (20-30),Men
B005,S007,2025-09-01,Monday,High-Rise Trousers,Bottoms,L,Charcoal,1,999,0,999.0,UPI,Male,Young Adult (20-30),Women
B006,S008,2025-09-01,Monday,Printed Silk Scarf,Accessories,S,Emerald,2,249,40,298.8,UPI,Male,Young Adult (20-30),Accessories
B007,S009,2025-09-02,Tuesday,Ethnic Kolhapuri Chappals,Footwear,L,Black,1,699,0,699.0,Card,Male,Young Adult (20-30),Women
B008,S010,2025-09-02,Tuesday,Linen Casual Shirt,Tops,L,Sky Blue,1,799,0,799.0,UPI,Male,Young Adult (20-30),Men
B009,S011,2025-09-02,Tuesday,Slim Fit Jeans,Bottoms,M,Navy Blue,1,999,0,999.0,UPI,Female,Senior (46+),Men
B010,S012,2025-09-02,Tuesday,Slim Fit Jeans,Bottoms,M,Charcoal,2,999,0,1998.0,Card,Male,Young Adult (20-30),Men
B011,S013,2025-09-03,Wednesday,Slim Fit Jeans,Bottoms,M,Navy Blue,1,999,10,899.1,UPI,Male,Adult (31-45),Men
